Date,Symbol,Order,Shares
2010-10-12,IBM,SELL,100
2010-10-13,IBM,SELL,100
2010-10-14,IBM,SELL,100
2010-10-15,IBM,SELL,100
2010-10-18,IBM,SELL,100
2010-10-19,IBM,BUY,1100
2010-10-27,IBM,SELL,100
2010-10-29,IBM,SELL,100
2010-11-01,IBM,SELL,100
2010-11-02,IBM,SELL,100
2010-11-03,IBM,SELL,100
2010-11-04,IBM,SELL,100
2010-11-05,IBM,SELL,100
2010-11-08,IBM,SELL,100
2010-11-09,IBM,SELL,100
2010-11-10,IBM,SELL,100
2010-11-11,IBM,SELL,100
2010-11-15,IBM,BUY,2200
2010-11-16,IBM,BUY,100
2010-11-17,IBM,BUY,100
2010-11-23,IBM,BUY,100
2010-11-24,IBM,SELL,-1900
2010-11-26,IBM,BUY,100
2010-11-29,IBM,BUY,100
2010-11-30,IBM,BUY,100
2010-12-02,IBM,SELL,-1600
2010-12-03,IBM,SELL,100
2010-12-06,IBM,SELL,100
2010-12-10,IBM,BUY,1800
2010-12-14,IBM,SELL,100
2010-12-16,IBM,BUY,1900
2010-12-20,IBM,BUY,100
2010-12-21,IBM,SELL,-1800
2010-12-22,IBM,SELL,100
2010-12-23,IBM,SELL,100
